service_id,date,exception_type
Ss,20151120,1
Na,20151120,1
Su,20151120,1
Fa,20151120,1
Yr,20151120,1
2,20151121,1
Nb,20151122,1
3,20151122,1
0,20151123,1
Ss,20151123,1
Na,20151123,1
Su,20151123,1
0,20151124,1
Ss,20151124,1
Na,20151124,1
Su,20151124,1
0,20151125,1
Ss,20151125,1
Na,20151125,1
Su,20151125,1
0,20151126,1
Ss,20151126,1
Na,20151126,1
Su,20151126,1
0,20151127,1
Ss,20151127,1
Na,20151127,1
Su,20151127,1
Fa,20151127,1
Yr,20151127,1
2,20151128,1
Nb,20151129,1
3,20151129,1
0,20151130,1
Ss,20151130,1
Na,20151130,1
Su,20151130,1
0,20151201,1
Ss,20151201,1
Na,20151201,1
Su,20151201,1
0,20151202,1
Ss,20151202,1
Na,20151202,1
Su,20151202,1
0,20151203,1
Ss,20151203,1
Na,20151203,1
Su,20151203,1
0,20151204,1
Ss,20151204,1
Na,20151204,1
Su,20151204,1
Fa,20151204,1
Yr,20151204,1
2,20151205,1
Nb,20151206,1
3,20151206,1
0,20151207,1
Ss,20151207,1
Na,20151207,1
Su,20151207,1
0,20151208,1
Ss,20151208,1
Na,20151208,1
Su,20151208,1
0,20151209,1
Ss,20151209,1
Na,20151209,1
Su,20151209,1
0,20151210,1
Ss,20151210,1
Na,20151210,1
Su,20151210,1
0,20151211,1
Ss,20151211,1
Na,20151211,1
Su,20151211,1
Fa,20151211,1
Yr,20151211,1
2,20151212,1
Nb,20151213,1
3,20151213,1
0,20151214,1
Ss,20151214,1
Na,20151214,1
Su,20151214,1
0,20151215,1
Ss,20151215,1
Na,20151215,1
Su,20151215,1
0,20151216,1
Ss,20151216,1
Na,20151216,1
Su,20151216,1
0,20151217,1
Ss,20151217,1
Na,20151217,1
Su,20151217,1
0,20151218,1
Ss,20151218,1
Na,20151218,1
Su,20151218,1
Fa,20151218,1
Yr,20151218,1
2,20151219,1
Nb,20151220,1
3,20151220,1
0,20151221,1
Ss,20151221,1
Na,20151221,1
Su,20151221,1
0,20151222,1
Ss,20151222,1
Na,20151222,1
Su,20151222,1
0,20151223,1
Na,20151223,1
Su,20151223,1
Sf,20151223,1
2,20151224,1
Yt,20151224,1
3,20151225,1
Ys,20151225,1
3,20151226,1
Ys,20151226,1
Nb,20151227,1
3,20151227,1
0,20151228,1
Na,20151228,1
Sf,20151228,1
0,20151229,1
Na,20151229,1
Sf,20151229,1
0,20151230,1
Na,20151230,1
Sf,20151230,1
2,20151231,1
Yu,20151231,1
3,20160101,1
Ys,20160101,1
2,20160102,1
Nb,20160103,1
3,20160103,1
0,20160104,1
Na,20160104,1
Sf,20160104,1
0,20160105,1
Na,20160105,1
Sf,20160105,1
Fa,20160105,1
Fb,20160105,1
Yr,20160105,1
Nb,20160106,1
3,20160106,1
0,20160107,1
Ss,20160107,1
Na,20160107,1
Su,20160107,1
0,20160108,1
Ss,20160108,1
Na,20160108,1
Su,20160108,1
Fa,20160108,1
Yr,20160108,1
2,20160109,1
Nb,20160110,1
3,20160110,1
0,20160111,1
Ss,20160111,1
Na,20160111,1
Su,20160111,1
0,20160112,1
Ss,20160112,1
Na,20160112,1
Su,20160112,1
0,20160113,1
Ss,20160113,1
Na,20160113,1
Su,20160113,1
0,20160114,1
Ss,20160114,1
Na,20160114,1
Su,20160114,1
0,20160115,1
Ss,20160115,1
Na,20160115,1
Su,20160115,1
Fa,20160115,1
Yr,20160115,1
2,20160116,1
Nb,20160117,1
3,20160117,1
0,20160118,1
Ss,20160118,1
Na,20160118,1
Su,20160118,1
0,20160119,1
Ss,20160119,1
Na,20160119,1
Su,20160119,1
0,20160120,1
Ss,20160120,1
Na,20160120,1
Su,20160120,1
0,20160121,1
Ss,20160121,1
Na,20160121,1
Su,20160121,1
0,20160122,1
Ss,20160122,1
Na,20160122,1
Su,20160122,1
Fa,20160122,1
Yr,20160122,1
2,20160123,1
Nb,20160124,1
3,20160124,1
0,20160125,1
Ss,20160125,1
Na,20160125,1
Su,20160125,1
0,20160126,1
Ss,20160126,1
Na,20160126,1
Su,20160126,1
0,20160127,1
Ss,20160127,1
Na,20160127,1
Su,20160127,1
0,20160128,1
Ss,20160128,1
Na,20160128,1
Su,20160128,1
0,20160129,1
Ss,20160129,1
Na,20160129,1
Su,20160129,1
Fa,20160129,1
Yr,20160129,1
2,20160130,1
Nb,20160131,1
3,20160131,1
0,20160201,1
Ss,20160201,1
Na,20160201,1
Su,20160201,1
0,20160202,1
Ss,20160202,1
Na,20160202,1
Su,20160202,1
0,20160203,1
Ss,20160203,1
Na,20160203,1
Su,20160203,1
0,20160204,1
Ss,20160204,1
Na,20160204,1
Su,20160204,1
0,20160205,1
Ss,20160205,1
Na,20160205,1
Su,20160205,1
Fa,20160205,1
Yr,20160205,1
2,20160206,1
Nb,20160207,1
3,20160207,1
0,20160208,1
Na,20160208,1
Su,20160208,1
Sf,20160208,1
0,20160209,1
Na,20160209,1
Su,20160209,1
Sf,20160209,1
0,20160210,1
Na,20160210,1
Su,20160210,1
Sf,20160210,1
0,20160211,1
Na,20160211,1
Su,20160211,1
Sf,20160211,1
0,20160212,1
Na,20160212,1
Su,20160212,1
Sf,20160212,1
